year,pelicula,duracion (min),valoracion,disponibilidad,color
1920,Cuando Chaplin enloqueció de amor,50,0,0,0
1921,Don Quipanza y Sancho Jote,50,0,0,0
1922,Galán Duende,50,0,0,0
1922,Pájaros sin nido,50,0,0,0
1923,Corazón de huaso (o Sol de estío),50,0,0,0
1925,"Canta y no llores, corazón (o el precio de una honra)",50,4,1,0
1926,El Leopardo,40,0,0,0
2002,Ogú y Mampato en Rapa Nui ,76,6.2,0,1
2003,Cesante,72,3.8,0,1
2003,Camino de sangre,50,0,1,1
2007,Papelucho y el Marciano,80,4,0,1
2007,"Pulentos, la película",75,2.3,0,1
2007,Un salto al vacío,54,0,1,1
2008,Papá o 36 mil juicios de un mismo suceso,50,0,0,1
2009,La Represa,50,0,1,1
2010,Centenario Museo Nacional de Bellas Artes,52,0,0,1
2012,"Selkirk, el verdadero Robinson Crusoe",80,6,0,1
2012,Audición,52,0,0,1
2015,"La Cuentamundos, poemas de Gabriela Mistral",45,0,0,1
2018,La casa lobo,75,7.1,0,1
2009,Bajo agua,55,0,0,1
2011,Rock & Romance,55,0,0,1
1987,El sueño del ratón en la sopa,56,0,1,1
1999,Juegos artificiales,58,0,0,1
2004,Sueño y secreto subterráneo,58,0,0,1
1917,Alma chilena,60,0,0,0
1925,El Húsar de la Muerte,60,7,1,0
1948,Mis espuelas de plata ,60,6.8,0,0
1973,La expropiación,60,7.8,0,1
1982,Historia de un Roble solo,60,0,0,1
1987,En busca del videasta perdido o Mister Off y el caso de las papas locas,60,0,0,1
1987,El blues del Orate,60,0,0,1
1998,(Este mar sabe demasiado) Takilleitor,60,2.6,1,1
2004,Y las vacas vuelan,60,7.3,1,1
2008,Sed de mar,60,0,1,1
2011,Secuelas,60,0,0,1
2011,Peces de Tierra,60,0,0,1
2013,La cinta,60,0,0,1
2014,Mar,60,5.6,0,1
2014,Mami,60,0,0,1